题号,题目,类型,难度,介绍,思路,第一轮完成情况,第二轮完成情况,题目链接
1,两数之和,哈希表,easy,"给定一个整数数组 nums 和一个目标值 target，请你在该数组中找出和为目标值的那 两个 整数，并返回他们的数组下标。 你可以假设每种输入只会对应一个答案。但是，你不能重复利用这个数组中同样的元素。
","哈希表，O(n), O(n)",√,,https://leetcode-cn.com/problems/two-sum/
7,整数反转,数学,easy,给出一个 32 位的有符号整数，你需要将这个整数中每位上的数字进行反转。,"关键在于检查溢出。转换后的数范围依然要在[-2^31, 2^31-1]之间，也就是[INT_MIN, INT_MAX]",√,,https://leetcode-cn.com/problems/reverse-integer
9,回文数,数学,easy,判断一个整数是否是回文数。回文数是指正序（从左向右）和倒序（从右向左）读都是一样的整数。,注意正负情况，负数不可能是回文数，剩下的一位一位比就行了，直接to_string()也行,√√,,https://leetcode-cn.com/problems/palindrome-number/
13,罗马数字转整数,字符串,easy,"需要考虑IV,IX等等",创建一个哈希表，直接检索。第二轮要练习使用c++的哈希表配合字符串操作，熟悉stl，而不是只用if else,√,,https://leetcode-cn.com/problems/roman-to-integer/
14,最长公共前缀,字符串,easy,编写一个函数来查找字符串数组中的最长公共前缀。,"1. 水平扫描法。先找前两个，前两个再跟第三个找LCS，以此类推。O(S),O(1). S为所有字符数量和。
2. 逐个字符比较，复杂度一样，但是也很慢
3. 分治法，类似归并排序一样。时间复杂度最坏情况下不变，空间O(mlog(n)),
4. 二分查找法，用二分法找到最大长度L，时间O(Slog(n)), 空间O(1)",√,,https://leetcode-cn.com/problems/longest-common-prefix/
20,有效的括号,栈、字符串,easy,给定一个只包括 '('，')'，'{'，'}'，'['，']' 的字符串，判断字符串是否有效。,"使用栈读取，当读取到右括号并且栈顶为对应的左括号则弹出，否则压入栈。O(n), O(n)",√√,,https://leetcode-cn.com/problems/valid-parentheses
21,合并两个有序链表,链表,easy,将两个有序链表合并为一个新的有序链表并返回。新链表是通过拼接给定的两个链表的所有节点组成的。 ,"直接迭代归并，O(n+m), O(1)",√√,,https://leetcode-cn.com/problems/merge-two-sorted-lists
26,删除排序数组中的重复项,数组、双指针,easy,给定一个排序数组，你需要在原地删除重复出现的元素，使得每个元素只出现一次，返回移除后数组的新长度。不适用额外空间,双指针，直接挪就可以了。,√√,,https://leetcode-cn.com/problems/remove-duplicates-from-sorted-array/
27,移除元素,数组、双指针,easy,给定一个数组 nums 和一个值 val，你需要原地移除所有数值等于 val 的元素，返回移除后数组的新长度。（顺序可以改变）,双指针，一个慢的记录不同元素，一个快的在前面排除重复元素,√√,,https://leetcode-cn.com/problems/remove-element/
38,外观数列,字符串,easy,"报数序列是一个整数序列，按照其中的整数的顺序进行报数，得到下一个数。
1.     1
2.     11
3.     21
4.     1211
5.     111221",正常循环迭代即可，也可用递归，没什么意义的题，核心就是字符串处理,√√,,https://leetcode-cn.com/problems/count-and-say/
28,实现subStr(),字符串、双指针,easy,判断一个字符串是不是另一个的subString,"1. KMP 算法
2. Sunday算法（未尝试）",√×,,https://leetcode-cn.com/problems/implement-strstr
53,最大子序和,分治法、动态规划,easy,给定一个整数数组 nums ，找到一个具有最大和的连续子数组（子数组最少包含一个元素），返回其最大和。,"1.暴力法：O(n^2), O(1) 
2.动态规划：O(n), O(1) 
3.分治法没看",√,,https://leetcode-cn.com/problems/maximum-subarray
66,加一,数组,easy,给定一个由整数组成的非空数组所表示的非负整数，在该数的基础上加一。,关键是判断进位，逢9进一,√√,,https://leetcode-cn.com/problems/plus-one/
67,二进制求和,数学、字符串,easy,给定两个二进制字符串，返回他们的和（用二进制表示）。,套求和模板，关键在于处理进位的情况，只要单独用一位一直记录进位，然后每一步把a[i]+b[i]+进位算出来即可,√,,https://leetcode-cn.com/problems/add-binary/
69,x的平方根,数学、二分查找,easy,实现 int sqrt(int x) 函数。小数部分舍去,"1. 二分检索,O(logn), O(1)
2. 牛顿法, ",√,,https://leetcode-cn.com/problems/sqrtx/
70,爬楼梯,动态规划,easy,假设你正在爬楼梯。需要 n 阶你才能到达楼顶。每次你可以爬 1 或 2 个台阶。你有多少种不同的方法可以爬到楼顶呢？,"动态规划。dp[n] = dp[n-1]+dp[n-2]，O(n), O(n)",√√,,https://leetcode-cn.com/problems/climbing-stairs
83,删除排序链表中的重复元素,链表,easy,给定一个排序链表，删除所有重复的元素，使得每个元素只出现一次。,链表的基本操作，甚至比删除数组中的重复元素要简单,√√,,https://leetcode-cn.com/problems/remove-duplicates-from-sorted-list/
88,合并两个有序数组,数组、双指针,easy,给定两个有序整数数组 nums1 和 nums2，将 nums2 合并到 nums1 中，使得 num1 成为一个有序数组。,"1. 创建新数组直接归并，O(m+n), O(m+n)
2. 双指针法从前往后，先将nums1中m个存起来，把结果存回nums1，空间优化为O(m)
3. 双指针法从后往前，不需要使用额外空间",√,,https://leetcode-cn.com/problems/merge-sorted-array
100,相同的树,树、DFS,easy,给定两个二叉树，编写一个函数来检验它们是否相同。,递归判断即可，当前是否相同，再递归判断左右子树是否相同,√√,,https://leetcode-cn.com/problems/same-tree/
101,对称二叉树,树、BFS,easy,给定一个二叉树，检查它是否是镜像对称的。,"1. 递归，检测左右子树是否互为镜像。O(n), O(n)
2. 使用队列做迭代，O(n), O(n)，构建两个队列，以相反的顺序插入节点。",×,,https://leetcode-cn.com/problems/symmetric-tree/
104,二叉树的最大深度,树、DFS,easy,给定一个二叉树，找出其最大深度。,"1. 递归.DFS, O(n), O(logn)
2. 使用栈做迭代的DFS，O(n), O(n)",√√,,https://leetcode-cn.com/problems/maximum-depth-of-binary-tree/
107,二叉树的层次遍历II,树、广度优先搜索,easy,给定一个二叉树，返回其节点值自底向上的层次遍历。 （即按从叶子节点所在层到根节点所在的层，逐层从左向右遍历）,简单的BFS即可，或者每层存一个数组，一层一层遍历。,√√,,https://leetcode-cn.com/problems/binary-tree-level-order-traversal-ii/
108,将有序数组转换为二叉搜索树,树、DFS,easy,将一个按照升序排列的有序数组，转换为一棵高度平衡二叉搜索树。,"1. 递归、或迭代
2. 栈DFS、或队列BFS（第二轮要看一下）",√,,https://leetcode-cn.com/problems/convert-sorted-array-to-binary-search-tree/
110,平衡二叉树,树、DFS,easy,给定一个二叉树，判断它是否是高度平衡的二叉树。,递归、看左右子树即可,√√,,https://leetcode-cn.com/problems/balanced-binary-tree/
111,二叉树的最小深度,树、DFS、BFS,easy,"给定一个二叉树，找出其最小深度。
最小深度是从根节点到最近叶子节点的最短路径上的节点数量。",也是递归、看左右子树，一直往下找,√√,,https://leetcode-cn.com/problems/minimum-depth-of-binary-tree/
112,路径总和,树、DFS,easy,给定一个二叉树和一个目标和，判断该树中是否存在根节点到叶子节点的路径，这条路径上所有节点值相加等于目标和。,递归，分两种情况考虑：算当前节点和不算当前节点,√√,,https://leetcode-cn.com/problems/path-sum/
118,杨辉三角,数组,easy,"给定一个非负整数 numRows，生成杨辉三角的前 numRows 行。
在杨辉三角中，每个数是它左上方和右上方的数的和。
","动态规划，O(n^2), O(n^2)",√√,,https://leetcode-cn.com/problems/pascals-triangle/
